time_tick,lac_X_value,lac_Y_value,lac_Z_value,turn,success,hoop
-0.003062,-0.108705,0.284443,-0.097427,1,0,0
0.03657,-0.304964,-0.037255,-0.086374,1,0,0
0.071238,-0.142644,0.060742,0.016076,1,0,0
0.100993,0.156398,0.037799,-0.068522,1,0,0
0.135722,0.030994,0.128173,-0.085188,1,0,0
0.17039,-0.191322,0.023884,-0.109889,1,0,0
0.205119,0.199497,0.15357,-0.064054,1,0,0
0.239787,0.046888,0.147906,-0.078172,1,0,0
0.269542,-0.044369,0.037884,-0.218239,1,0,0
0.30424,-0.215558,0.035735,-0.048446,1,0,0
0.338939,0.026412,-0.061128,0.047847,1,0,0
0.368693,0.236655,-0.162627,0.088404,1,0,0
0.403392,0.303983,-0.127939,0.043888,1,0,0
0.43809,0.47297,-0.181937,0.054378,1,0,0
0.467814,0.379716,0.027902,0.147107,1,0,0
0.502543,0.282913,0.152324,0.035345,1,0,0
0.537211,0.249879,0.282482,0.12568,1,0,0
0.57194,-0.061773,0.300641,0.18102,1,0,0
0.601695,-0.237405,0.095374,0.092471,1,0,0
0.636363,-0.280061,0.088011,-0.034858,1,0,0
0.671092,-0.504723,0.063049,0.172543,1,0,0
0.70576,-0.274058,-0.264072,0.160591,1,0,0
0.735514,-0.343561,-0.271742,0.251874,1,0,0
0.770213,-0.473541,-0.364806,0.193019,1,0,0
0.804911,-0.784937,-0.171043,-0.052443,1,0,0
0.834666,-0.954923,-0.320457,-0.274795,1,0,0
0.869365,-0.7371,-0.251223,-0.262776,1,0,0
0.904063,-0.680409,-0.033991,-0.362374,1,0,0
0.938762,-0.211097,-0.346548,-0.521078,1,0,0
0.968516,0.247821,-0.233585,-0.14437,1,0,0
1.003184,0.311896,-0.030544,-0.135457,1,0,0
1.037911,0.434936,-0.096339,0.053631,1,0,0
1.072579,0.704371,-0.264933,0.067945,1,0,0
1.102334,0.4615,-0.003094,0.122268,1,0,0
1.137063,0.337435,-0.045651,0.095361,1,0,0
1.171731,0.49658,-0.104635,0.237436,1,0,0
1.201485,0.458819,-0.004425,0.154822,1,0,0
1.236184,0.876029,0.031151,0.190408,1,0,0
1.270882,0.674344,0.130445,0.539458,1,0,0
1.305581,0.353441,0.466658,0.52093,1,0,0
1.340279,0.904001,0.170178,0.091373,1,0,0
1.370034,0.729926,-0.271307,0.144835,1,0,0
1.404732,0.458056,-0.26239,0.003296,1,0,0
1.439431,0.541572,0.230285,0.014409,1,0,0
1.469155,-0.190796,0.14992,0.330305,1,0,0
1.503884,-0.395252,0.452066,-0.02724,1,0,0
1.538552,0.858848,0.787861,0.437675,1,0,0
1.568307,-0.049127,0.35247,0.379748,1,0,0
1.603036,-0.307125,0.549063,0.342169,1,0,0
1.637704,-0.230024,1.143703,0.380679,1,0,0
1.672433,-0.24599,0.788088,0.325982,1,0,0
1.707101,0.408028,0.268762,0.829444,1,0,0
1.736855,0.965809,0.941543,0.577043,1,0,0
1.771554,1.223547,0.546151,-0.262142,1,0,0
1.806252,0.626206,1.504781,-0.235263,1,0,0
1.836007,-0.307394,1.145961,-0.657811,1,0,0
1.870705,-0.283428,1.168647,-1.050095,1,0,0
1.905404,0.433213,1.079078,-1.127131,1,0,0
1.935128,0.675524,0.214529,-1.428632,1,0,0
1.969857,-0.204193,1.655809,-1.057136,1,0,0
2.004525,-2.554204,0.984528,-1.363803,1,0,0
2.03428,-3.915795,0.64322,0.086647,1,0,0
2.069003,-10.738769,-1.151496,0.097349,1,0,0
2.103671,-23.871508,-4.602205,1.393886,1,0,0
2.1384,-29.162894,-5.439194,-7.834123,1,0,0
2.173068,-10.963964,-12.657025,-2.993307,1,0,0
2.202822,-9.528396,-15.734154,-2.90653,1,0,0
2.237521,-7.591501,-15.486972,-2.264916,1,0,0
2.272219,18.80446,-14.718544,-1.153371,1,0,0
2.301974,45.049573,-12.414448,-6.05987,1,0,0
2.336672,14.308868,-8.277173,-17.284753,1,0,0
2.371371,13.71152,3.843899,-3.192484,1,0,0
2.406069,8.136029,-2.504428,-1.879302,1,0,0
2.435824,3.798692,-1.507626,-3.172533,1,0,0
2.470492,3.583003,-1.819737,-1.981757,1,0,0
2.505221,2.381873,-1.582535,-1.031869,1,0,0
2.539889,-1.434711,-0.854581,-0.95499,1,0,0
2.569643,-4.288897,-1.369108,-1.952656,1,0,0
2.604372,-2.846273,-3.095626,-0.573348,1,0,0
2.63904,0.686734,-5.388632,0.940443,1,0,0
2.668795,1.554041,-4.47222,0.501598,1,0,0
2.703494,1.961041,-2.800013,1.126642,1,0,0
2.738192,2.378592,-3.165275,-0.517051,1,0,0
2.767947,0.877003,-4.193084,1.108052,1,0,0
2.802645,-0.236347,-2.905435,1.366691,1,0,0
2.837344,-1.607081,-1.421328,2.604909,1,0,0
2.872042,-4.093891,0.550968,1.790603,1,0,0
2.906741,-5.032865,-2.048598,0.288087,1,0,0
2.936465,-3.835342,0.742508,0.906665,1,0,0
2.971194,-2.573212,1.159051,-0.763249,1,0,0
3.005862,0.545271,-0.067433,-0.378876,1,0,0
3.035616,1.127253,0.839123,0.882221,1,0,0
3.070313,0.326274,1.22675,-0.113728,1,0,0
3.104981,0.10566,1.116089,0.321127,1,0,0
3.134736,-0.116228,0.734292,0.897691,1,0,0
3.169434,-0.308648,0.155307,0.918333,1,0,0
3.204133,0.063419,0.639432,0.697961,1,0,0
3.238831,0.112135,0.439921,0.214171,1,0,0
3.268586,-0.030147,0.94728,-0.150726,1,0,0
3.303285,0.090214,0.94316,-0.465506,1,0,0
3.337983,0.694926,-1.008961,-0.740999,1,0,0
3.372682,0.745345,-1.122025,0.381024,1,0,0
3.402406,0.585318,-1.274108,0.42263,1,0,0
3.437135,1.496946,-1.674401,0.216769,1,0,0
3.471803,3.200186,-0.882918,-0.111419,1,0,0
3.501557,3.831313,0.180552,-0.726548,1,0,0
3.536286,3.796367,-0.441174,-1.245347,1,0,0
3.570954,2.611869,-1.418306,-1.861852,1,0,0
3.605683,1.717927,0.256255,-2.009144,1,0,0
3.635407,1.149088,1.30879,-2.260103,1,0,0
3.670106,0.318193,0.32542,-1.983773,1,0,0
3.704804,-0.337034,0.021468,-1.410577,1,0,0
3.739503,-2.203827,0.455673,-0.772426,1,0,0
3.769257,-3.541636,-0.715015,-0.224305,1,0,0
3.803956,-3.635499,-1.18656,0.514369,1,0,0
3.838654,-2.808282,-0.516294,0.805836,1,0,0
3.868379,-2.529148,-0.258022,0.369809,1,0,0
3.903108,-2.14618,-0.08734,0.131445,1,0,0
3.937775,-1.302497,0.49454,-0.451529,1,0,0
3.972504,-0.788137,1.447552,0.13753,1,0,0
4.007172,-0.218537,0.406063,-0.045396,1,0,0
4.036927,-0.055174,-0.176338,-0.084597,1,0,0
4.071649,0.246606,-0.483601,0.505038,1,0,0
4.106317,0.33543,-1.042274,0.888968,1,0,0
4.136072,0.275834,-0.707702,0.807602,1,0,0
4.17077,-0.596789,-0.253666,0.402398,1,0,0
4.205469,-1.562649,0.267565,-0.031547,1,0,0
4.235223,-1.531134,0.62258,-0.226915,1,0,0
4.269922,-1.105837,0.243172,-0.251784,1,0,0
4.30462,-1.023799,-0.01031,-0.166972,1,0,0
4.339319,-0.947505,0.500931,-0.026365,1,0,0
4.369073,-0.79979,0.19494,-0.28797,1,0,0
4.403741,-0.736794,-0.060855,-0.357444,1,0,0
4.43847,-0.6234,-0.071266,-0.291417,1,0,0
4.473138,-0.398294,0.17146,-0.266586,1,0,0
4.502893,-0.010122,0.246615,-0.33515,1,0,0
4.537622,0.433534,0.108824,-0.241265,1,0,0
4.57229,0.85049,0.152393,-0.032508,1,0,0
4.602045,0.845718,0.112991,0.028753,1,0,0
4.636743,0.739733,-0.134056,0.271554,1,0,0
4.671442,0.718506,-0.077121,0.579314,1,0,0
4.70614,0.709957,-0.190469,0.397629,1,0,0
4.735895,0.649012,-0.366702,0.181232,1,0,0
4.770593,0.757095,-0.343436,0.277584,1,0,0
4.805292,0.6858,-0.061677,0.223213,1,0,0
4.83999,0.501611,0.058664,-0.159682,1,0,0
4.869714,0.476322,-0.122337,-0.020134,1,0,0
4.904443,0.195878,-0.101043,0.021124,1,0,0
4.939111,-0.181551,-0.22456,-0.11077,1,0,0
4.968866,-0.195934,-0.396717,-0.221016,1,0,0
5.003595,-0.118372,-0.179145,-0.18722,1,0,0
5.038263,-0.199744,-0.429273,0.209167,1,0,0
5.068003,-1.065351,-0.252869,-0.180117,1,0,0
5.102701,-1.744756,0.03673,-0.348196,1,0,0
5.137399,-1.777943,-0.234101,-0.735694,1,0,0
5.172098,-1.381671,0.098439,-1.202178,1,0,0
5.206796,-0.836839,0.3168,-1.434238,1,0,0
