time_tick,lac_X_value,lac_Y_value,lac_Z_value,Turn,Success,Hoop
0.011242,-0.207509,0.106376,-0.057749,1,0,0
0.04591,-0.595926,0.070277,-0.024676,1,0,0
0.075664,-0.003591,-0.073561,0.116717,1,0,0
0.110363,0.21193,-0.036517,0.143429,1,0,0
0.145061,-0.044382,0.092036,0.011604,1,0,0
0.174816,-0.015844,0.094346,0.013271,1,0,0
0.209514,0.003688,0.039743,0.016448,1,0,0
0.244213,-0.017555,0.105923,0.03569,1,0,0
0.273937,-0.04574,0.077575,-0.024594,1,0,0
0.308666,-0.003828,0.021376,0.023053,1,0,0
0.343334,0.048895,0.169998,-0.020201,1,0,0
0.378063,0.011328,0.158814,-0.036967,1,0,0
0.412731,0.1058,0.049879,-0.056863,1,0,0
0.442486,0.15138,-0.020093,-0.017146,1,0,0
0.477184,0.099487,0.062465,0.079194,1,0,0
0.511883,0.187054,0.098689,0.028421,1,0,0
0.541607,0.202651,0.090844,-0.109331,1,0,0
0.576336,0.097209,-0.028817,0.011679,1,0,0
0.611034,0.233273,0.026052,-0.093535,1,0,0
0.640745,0.174201,-0.135718,-0.141747,1,0,0
0.675474,0.12203,-0.212864,-0.104559,1,0,0
0.710142,0.040243,0.102842,0.023933,1,0,0
0.744871,-0.038147,0.144023,0.029834,1,0,0
0.779539,0.074397,0.04535,-0.020795,1,0,0
0.809294,0.077805,0.080308,-0.083302,1,0,0
0.843992,0.00463,0.058663,-0.088856,1,0,0
0.878691,-0.067699,0.102037,-0.039386,1,0,0
0.908415,-0.052409,0.107911,-0.068503,1,0,0
0.943144,-0.019238,0.124586,-0.104904,1,0,0
0.977812,-0.096145,0.01392,-0.07851,1,0,0
1.012541,-0.050317,-0.001939,-0.015381,1,0,0
1.042296,-0.072176,-0.016338,-0.01896,1,0,0
1.076964,-0.218843,0.102826,0.006505,1,0,0
1.111693,-0.140804,0.081058,-0.023335,1,0,0
1.141417,-0.147156,-0.018578,-0.007719,1,0,0
1.176115,-0.148275,-0.014155,-0.04795,1,0,0
1.210814,-0.14826,0.025933,-0.027008,1,0,0
1.245512,-0.177616,-0.015284,-0.015307,1,0,0
1.275236,-0.205247,0.093128,0.006848,1,0,0
1.309965,-0.216729,0.099464,-0.055308,1,0,0
1.344633,-0.20964,0.126434,-0.013438,1,0,0
1.374388,-0.233679,0.10452,-0.015125,1,0,0
1.409086,-0.266805,0.107729,0.049593,1,0,0
1.443785,-0.188434,0.028258,0.037236,1,0,0
1.478514,-0.087539,-0.0228,0.120913,1,0,0
1.508238,-0.045091,-0.012997,0.101117,1,0,0
1.542936,-0.01503,-0.038939,0.061489,1,0,0
1.577635,0.067391,0.002866,0.047038,1,0,0
1.612333,0.066163,0.042579,0.021294,1,0,0
1.642043,0.068256,0.039238,-0.032123,1,0,0
1.676772,0.070313,0.030704,-0.0173,1,0,0
1.711439,0.087438,0.075684,-0.028636,1,0,0
1.741194,0.055068,0.106962,0.040958,1,0,0
1.775893,0.010067,0.111175,0.056998,1,0,0
1.810591,0.002294,0.044351,0.066753,1,0,0
1.84529,0.071224,0.079261,0.064549,1,0,0
1.875044,0.098307,0.142935,0.075555,1,0,0
1.909743,0.116543,0.118476,0.035707,1,0,0
1.944441,0.026598,0.138474,0.039839,1,0,0
1.97914,0.112875,0.078875,0.105988,1,0,0
2.008864,0.009754,0.107899,0.102896,1,0,0
2.043593,-0.032923,0.083391,0.064133,1,0,0
2.078261,-0.21496,0.103684,-0.005221,1,0,0
2.108015,-0.242367,0.168956,0.11195,1,0,0
2.142714,-0.124046,-0.303605,0.08522,1,0,0
2.177412,-0.446597,0.031496,0.220578,1,0,0
2.207137,-0.595988,0.133594,0.102885,1,0,0
2.241866,-0.474204,-0.092309,0.032625,1,0,0
2.276533,-0.271044,-0.21974,0.145839,1,0,0
2.311262,-0.326962,-0.483197,0.858183,1,0,0
2.345961,-0.704863,-0.770691,0.474145,1,0,0
2.375685,-0.701831,-0.498212,0.237579,1,0,0
2.410414,-0.433699,-0.397353,-0.121575,1,0,0
2.445082,-0.065612,-0.510127,-0.313542,1,0,0
2.474837,0.174116,-0.480758,-0.483702,1,0,0
2.509535,0.324158,-0.171,-0.587762,1,0,0
2.544234,-0.189722,-0.487036,-0.926371,1,0,0
2.573958,0.016744,-0.088072,-0.623612,1,0,0
2.608687,0.215302,-0.091855,-0.910566,1,0,0
2.643309,-0.250828,-0.175719,-0.891015,1,0,0
2.678038,0.599578,-0.212812,-0.350681,1,0,0
2.712706,0.299012,-0.335486,-0.097282,1,0,0
2.74246,-0.09828,-0.274944,-0.140523,1,0,0
2.777189,0.247585,-0.597996,0.512281,1,0,0
2.811857,0.291403,-0.367119,0.314673,1,0,0
2.841612,1.311093,-0.216625,0.724892,1,0,0
2.87631,1.562512,-0.562238,1.13576,1,0,0
2.911009,1.352408,-0.41629,1.032576,1,0,0
2.940733,1.975757,-0.039178,0.264412,1,0,0
2.975462,1.557875,0.105261,-0.779036,1,0,0
3.01013,2.150536,1.003664,-0.318902,1,0,0
3.044859,1.348382,0.52568,-0.036989,1,0,0
3.074583,0.426449,0.164251,-0.220385,1,0,0
3.109282,0.889866,-0.176979,0.337681,1,0,0
3.144011,0.878275,-0.313252,1.206832,1,0,0
3.178679,0.733301,-1.027045,1.613724,1,0,0
3.208433,-1.96981,-1.618099,1.260967,1,0,0
3.243132,-1.3902,-0.325675,0.626086,1,0,0
3.27783,-1.174681,0.375614,-0.471501,1,0,0
3.312529,-1.233169,0.56776,-1.091,1,0,0
3.342283,-0.5305,1.013526,-0.857207,1,0,0
3.376951,-1.217902,0.518956,-0.818842,1,0,0
3.406706,-0.656045,0.534516,-0.698248,1,0,0
3.446348,-0.940812,-0.068206,-1.216823,1,0,0
3.476103,-0.695328,0.746538,-1.281249,1,0,0
3.510801,-0.51682,-0.066898,-0.986428,1,0,0
3.5455,-4.180192,-0.281867,-0.07021,1,0,0
3.575255,-10.262862,-1.908449,1.714186,1,0,0
3.609953,-22.250767,-6.231259,0.460693,1,0,0
3.644655,-13.623716,-12.003374,-0.04869,1,0,0
3.674379,-9.220332,-13.329188,-4.816184,1,0,0
3.709108,-5.143663,-12.529853,-8.602467,1,0,0
3.743776,9.843202,-12.773684,3.078617,1,0,0
3.778505,24.764743,-9.441578,7.168774,1,0,0
3.813173,19.950951,-8.49435,-3.920913,1,0,0
3.842927,2.668199,-2.731968,-4.087614,1,0,0
3.877626,4.65578,-0.566816,-2.857834,1,0,0
3.912324,6.394223,-1.150423,2.060733,1,0,0
3.942048,2.761167,-0.552737,1.105143,1,0,0
3.976777,2.256719,-0.755587,0.972459,1,0,0
4.011476,-0.064466,-1.49979,2.214353,1,0,0
4.0412,-1.625114,-1.641245,0.858725,1,0,0
4.075929,-2.083598,-2.433576,1.459687,1,0,0
4.110597,-1.352621,-1.467401,0.913108,1,0,0
4.140352,-0.886523,-1.646486,0.622279,1,0,0
4.17505,0.249593,-2.26878,0.599683,1,0,0
4.209749,0.486579,-3.0888,0.792492,1,0,0
4.244447,0.284245,-1.243369,0.281425,1,0,0
4.279146,0.136507,-2.240089,0.264789,1,0,0
4.30887,0.870405,-2.527825,0.105859,1,0,0
4.343599,0.073047,-2.587377,-0.077446,1,0,0
4.378267,-1.675367,-2.869892,-1.156155,1,0,0
4.412996,-1.699836,-1.572429,-1.217134,1,0,0
4.44275,-2.019082,-0.484397,-1.16136,1,0,0
4.477418,-1.621122,-1.222862,-1.75417,1,0,0
4.517091,-2.06522,0.143689,-0.460837,1,0,0
4.541871,-2.366792,0.107321,-0.650315,1,0,0
4.57657,-2.162515,0.565715,-1.006314,1,0,0
4.611268,-1.850695,1.603797,-0.795383,1,0,0
4.645956,-1.240303,0.545271,-0.634756,1,0,0
4.680654,-0.866377,-0.039927,-0.424257,1,0,0
4.710409,-0.675286,0.07776,0.139355,1,0,0
4.745077,-0.338854,-0.191421,0.627842,1,0,0
4.779806,-0.177158,-0.455498,0.638458,1,0,0
4.809561,0.099044,-0.134813,0.643419,1,0,0
4.844229,0.464619,0.247873,-0.027298,1,0,0
4.878958,0.726916,-0.373205,0.000209,1,0,0
4.908682,0.814156,0.281087,0.202801,1,0,0
4.94338,0.417996,0.150299,-0.116748,1,0,0
4.978079,0.321836,0.017912,-0.082347,1,0,0
5.012777,0.702808,0.934971,-0.340689,1,0,0
5.042501,0.912341,0.422471,-0.50418,1,0,0
5.07723,0.940463,-0.250105,0.034681,1,0,0
5.111898,0.739594,0.683568,0.332072,1,0,0
5.141653,0.600609,-0.017483,0.586222,1,0,0
5.176351,0.275276,-0.345951,0.341714,1,0,0
5.21105,0.211003,0.275584,0.000866,1,0,0
5.240804,0.33506,0.189087,-0.151373,1,0,0
5.275503,0.321193,0.182946,-0.569591,1,0,0
5.310201,0.697044,0.469675,0.184523,1,0,0
5.3449,1.239076,-0.389537,0.4423,1,0,0
5.374655,0.615754,-0.830064,0.216051,1,0,0
5.409323,-0.452553,-0.392171,-0.167536,1,0,0
5.448995,-1.039156,-0.014646,-0.551275,1,0,0
5.478719,-1.176562,0.139798,-0.609028,1,0,0
5.508474,-1.341172,0.078402,-0.692055,1,0,0
5.543173,-1.328927,-0.115826,-0.652894,1,0,0
5.577871,-1.009235,-0.101222,-0.397966,1,0,0
5.607626,-0.943986,-0.148531,-0.081151,1,0,0
5.642281,-0.898485,-0.316352,0.245252,1,0,0
5.67698,-0.463733,-0.482772,0.79794,1,0,0
5.706704,-0.394766,-0.596211,0.897436,1,0,0
5.741433,-0.485314,-0.571272,0.745463,1,0,0
5.776101,-0.392764,-0.357284,0.242799,1,0,0
5.81083,-0.299077,-0.146683,-0.112366,1,0,0
5.845498,-0.414218,-0.044867,-0.410904,1,0,0
5.875252,-0.460527,0.095516,-0.505987,1,0,0
5.909951,-0.388887,0.082776,-0.403769,1,0,0
5.944649,-0.159385,0.084661,-0.161308,1,0,0
5.974374,0.040946,0.050395,0.014352,1,0,0
6.009103,0.287099,0.077813,0.20868,1,0,0
6.04377,0.678431,-0.036941,0.369528,1,0,0
6.078499,0.827665,0.031784,0.338294,1,0,0
6.108254,0.798815,0.001045,0.143774,1,0,0
6.142922,1.237872,0.207629,0.087604,1,0,0
6.177651,1.159418,0.213365,0.174907,1,0,0
6.212319,0.478469,0.173101,-0.081648,1,0,0
6.242074,0.053453,0.186837,-0.070267,1,0,0
6.276772,-0.271877,-0.064498,-0.109874,1,0,0
6.311471,-0.412508,-0.107024,-0.240001,1,0,0
6.346169,-0.16427,0.050664,-0.1646,1,0,0
6.375924,-0.268276,0.077619,-0.033375,1,0,0
6.410592,-0.467781,0.096649,-0.010904,1,0,0
6.445321,-0.290363,-0.012441,0.01955,1,0,0
