time_tick,grv_X_value,grv_Y_value,grv_Z_value,Turn ,Success,Hoop
0.00907,-8.679856,-3.486181,-2.946845,1,1,0
0.033881,-8.716453,-3.260495,-3.093521,1,1,0
0.068579,-8.804796,-2.913526,-3.188132,1,1,0
0.103278,-8.881822,-2.571747,-3.267507,1,1,0
0.137976,-8.936132,-2.28895,-3.329188,1,1,0
0.162787,-8.959678,-2.114012,-3.381179,1,1,0
0.202429,-8.981569,-1.882543,-3.459003,1,1,0
0.237128,-8.983358,-1.699292,-3.548088,1,1,0
0.271826,-8.977692,-1.531688,-3.637614,1,1,0
0.301581,-8.980175,-1.395162,-3.686086,1,1,0
0.33628,-8.983714,-1.262609,-3.725045,1,1,0
0.36106,-8.978407,-1.198836,-3.758756,1,1,0
0.405677,-8.965536,-1.111629,-3.815847,1,1,0
0.435431,-8.952835,-1.057494,-3.860792,1,1,0
0.475074,-8.934885,-1.015481,-3.913295,1,1,0
0.504828,-8.922662,-0.998123,-3.945516,1,1,0
0.534583,-8.908471,-0.982586,-3.981321,1,1,0
0.569281,-8.895282,-0.973072,-4.013021,1,1,0
0.60398,-8.902106,-0.980134,-3.996136,1,1,0
0.633704,-8.935668,-1.00571,-3.914032,1,1,0
0.668433,-8.944133,-1.020787,-3.890724,1,1,0
0.703131,-8.975825,-1.042385,-3.8112,1,1,0
0.73783,-8.996976,-1.043641,-3.760649,1,1,0
0.772528,-9.012726,-1.055129,-3.719507,1,1,0
0.802283,-9.020517,-1.079862,-3.69343,1,1,0
0.836981,-9.036201,-1.0867,-3.652862,1,1,0
0.87168,-9.041299,-1.099701,-3.636319,1,1,0
0.901404,-9.042964,-1.107779,-3.629722,1,1,0
0.936133,-9.046119,-1.122021,-3.617463,1,1,0
0.970788,-9.051035,-1.157835,-3.593804,1,1,0
1.000512,-9.063745,-1.209409,-3.544446,1,1,0
1.035241,-9.067033,-1.313418,-3.498728,1,1,0
1.069939,-9.075248,-1.437183,-3.428065,1,1,0
1.104638,-9.088107,-1.567872,-3.335467,1,1,0
1.134392,-9.089653,-1.700208,-3.265692,1,1,0
1.169091,-9.089068,-1.887607,-3.162756,1,1,0
1.203789,-9.096585,-2.186456,-2.940885,1,1,0
1.238488,-9.088524,-2.559327,-2.650627,1,1,0
1.268212,-9.055123,-2.867402,-2.441312,1,1,0
1.302941,-8.960452,-3.234886,-2.328745,1,1,0
1.337639,-8.844425,-3.565393,-2.289403,1,1,0
1.367363,-8.768825,-3.780035,-2.235238,1,1,0
1.402092,-8.709195,-3.948322,-2.176677,1,1,0
1.426873,-8.675625,-4.015929,-2.187033,1,1,0
1.471489,-8.61317,-4.088203,-2.297203,1,1,0
1.506188,-8.58054,-4.10697,-2.384192,1,1,0
1.535943,-8.533014,-4.18312,-2.42207,1,1,0
1.570641,-8.448619,-4.337676,-2.445947,1,1,0
1.60534,-8.343673,-4.529743,-2.458007,1,1,0
1.635064,-8.254033,-4.693061,-2.454256,1,1,0
1.669793,-8.151773,-4.861608,-2.467919,1,1,0
1.704491,-8.030601,-5.021303,-2.54425,1,1,0
1.734215,-7.908783,-5.161029,-2.644272,1,1,0
1.768944,-7.747797,-5.3386,-2.765548,1,1,0
1.803643,-7.574832,-5.528453,-2.869735,1,1,0
1.833367,-7.40758,-5.688166,-2.991618,1,1,0
1.868096,-7.149646,-5.920779,-3.162939,1,1,0
1.902764,-6.946984,-6.06922,-3.328847,1,1,0
1.937493,-6.910686,-6.050008,-3.437598,1,1,0
1.972198,-7.356873,-5.534711,-3.379444,1,1,0
2.001922,-8.246172,-4.418557,-2.941811,1,1,0
2.036651,-8.951513,-2.804735,-2.860265,1,1,0
2.07135,-9.021511,-0.72675,-3.776429,1,1,0
2.101074,-8.419764,1.666403,-4.744251,1,1,0
2.135803,-6.988676,3.709843,-5.794196,1,1,0
2.170502,-6.257541,3.942154,-6.440485,1,1,0
2.200226,-5.20491,3.2344,-7.656685,1,1,0
2.234955,-5.633555,2.382736,-7.665695,1,1,0
2.269623,-6.407523,1.430596,-7.285211,1,1,0
2.304352,-6.156012,0.587587,-7.611538,1,1,0
2.33905,-6.160335,-0.369389,-7.621749,1,1,0
2.368774,-6.475501,-1.208768,-7.265261,1,1,0
2.403503,-6.983785,-2.230307,-6.51381,1,1,0
2.438202,-7.209228,-3.196162,-5.829994,1,1,0
2.467926,-7.115211,-3.997032,-5.438267,1,1,0
2.502655,-6.876148,-4.815153,-5.070517,1,1,0
2.537353,-6.673518,-5.520844,-4.600184,1,1,0
2.572052,-6.386593,-6.185638,-4.138424,1,1,0
2.601807,-6.094191,-6.6778,-3.800667,1,1,0
2.636474,-5.729998,-7.211089,-3.36817,1,1,0
2.676147,-5.361453,-7.694959,-2.866997,1,1,0
2.700958,-5.169857,-7.942135,-2.524345,1,1,0
2.735626,-4.912851,-8.261433,-1.946758,1,1,0
2.770355,-4.602914,-8.554663,-1.34468,1,1,0
2.805054,-4.196391,-8.826395,-0.813818,1,1,0
2.834778,-3.820001,-9.019128,-0.49008,1,1,0
2.869507,-3.408626,-9.191641,-0.268811,1,1,0
2.904175,-3.119598,-9.295603,-0.19265,1,1,0
2.933929,-3.029387,-9.326317,-0.140977,1,1,0
2.968629,-2.99805,-9.337482,-0.019091,1,1,0
3.003297,-2.964042,-9.347728,0.108089,1,1,0
3.038026,-2.946036,-9.351416,0.221666,1,1,0
3.067781,-2.938227,-9.351688,0.299997,1,1,0
3.102449,-2.949696,-9.345777,0.364682,1,1,0
3.137178,-2.950476,-9.342058,0.44484,1,1,0
3.171876,-2.686842,-9.420917,0.452164,1,1,0
3.201601,-2.612883,-9.443977,0.401728,1,1,0
3.23633,-2.389727,-9.507543,0.270329,1,1,0
3.270997,-2.192871,-9.558127,0.103765,1,1,0
3.300752,-1.998859,-9.601047,-0.041303,1,1,0
3.335481,-1.781973,-9.642068,-0.179828,1,1,0
3.370149,-1.654252,-9.662098,-0.290787,1,1,0
3.404878,-1.613012,-9.664484,-0.416164,1,1,0
3.434633,-1.62871,-9.656913,-0.518247,1,1,0
3.469301,-1.699844,-9.639425,-0.60767,1,1,0
3.508974,-1.832567,-9.609508,-0.690144,1,1,0
3.538728,-1.946803,-9.582879,-0.745412,1,1,0
3.568452,-2.055956,-9.557338,-0.77947,1,1,0
3.603181,-2.158973,-9.534339,-0.782595,1,1,0
3.637849,-2.214928,-9.522803,-0.766521,1,1,0
3.667604,-2.351081,-9.49512,-0.701679,1,1,0
3.702333,-2.386615,-9.49177,-0.622589,1,1,0
3.737001,-2.337654,-9.508088,-0.555769,1,1,0
3.77173,-2.290215,-9.520755,-0.536086,1,1,0
3.801485,-2.289811,-9.519739,-0.555502,1,1,0
3.836153,-2.192986,-9.545706,-0.497541,1,1,0
3.870882,-2.188478,-9.548051,-0.471733,1,1,0
3.905549,-2.15535,-9.557576,-0.429478,1,1,0
3.935304,-2.166119,-9.55525,-0.427043,1,1,0
3.970009,-2.103456,-9.567125,-0.472049,1,1,0
4.004677,-2.035887,-9.57698,-0.560244,1,1,0
4.034432,-2.026952,-9.574966,-0.623488,1,1,0
4.069161,-1.994455,-9.573991,-0.733552,1,1,0
4.093911,-1.975676,-9.570873,-0.819967,1,1,0
4.133583,-1.986178,-9.561086,-0.904427,1,1,0
4.168312,-1.996455,-9.557474,-0.919841,1,1,0
4.20298,-1.979857,-9.561859,-0.910092,1,1,0
4.237709,-1.940741,-9.571708,-0.890606,1,1,0
4.272377,-1.81857,-9.599723,-0.845796,1,1,0
4.302132,-1.695423,-9.626206,-0.799337,1,1,0
4.336861,-1.564311,-9.653023,-0.741171,1,1,0
4.371529,-1.447916,-9.677362,-0.655319,1,1,0
4.401284,-1.342073,-9.698357,-0.563883,1,1,0
4.436013,-1.201511,-9.722852,-0.446954,1,1,0
4.470681,-1.044477,-9.745287,-0.340123,1,1,0
4.500435,-0.937706,-9.754527,-0.383603,1,1,0
4.535164,-0.908376,-9.750917,-0.521262,1,1,0
4.569832,-0.931677,-9.737813,-0.695863,1,1,0
4.604561,-0.914924,-9.729597,-0.821647,1,1,0
4.639229,-0.931924,-9.716064,-0.952295,1,1,0
4.668984,-0.933195,-9.707079,-1.03875,1,1,0
4.703713,-0.85068,-9.708143,-1.097972,1,1,0
4.738381,-0.81297,-9.706042,-1.144145,1,1,0
4.768135,-0.782874,-9.705965,-1.165592,1,1,0
4.802864,-0.767958,-9.708509,-1.15427,1,1,0
4.837532,-0.741619,-9.717782,-1.091769,1,1,0
4.867287,-0.680125,-9.72952,-1.025238,1,1,0
4.902016,-0.598682,-9.742413,-0.950907,1,1,0
4.936684,-0.486129,-9.756605,-0.865791,1,1,0
