time_tick,grv_X_value,grv_Y_value,grv_Z_value,Turn,Success
0.008459,-0.717373,-9.145068,-3.468479,1,0
0.028478,-0.735354,-9.141559,-3.473962,1,0
0.063482,-0.730005,-9.132937,-3.497684,1,0
0.098486,-0.690944,-9.121831,-3.534409,1,0
0.133489,-0.651863,-9.112293,-3.566291,1,0
0.163518,-0.629792,-9.109071,-3.578468,1,0
0.198522,-0.640984,-9.108206,-3.578683,1,0
0.233526,-0.658753,-9.110196,-3.57038,1,0
0.263525,-0.64564,-9.115814,-3.558418,1,0
0.298528,-0.616148,-9.125359,-3.539128,1,0
0.333532,-0.612923,-9.130697,-3.525895,1,0
0.363561,-0.623872,-9.132749,-3.518655,1,0
0.398565,-0.637524,-9.13955,-3.498491,1,0
0.428564,-0.595656,-9.145411,-3.490545,1,0
0.463567,-0.505632,-9.155404,-3.478528,1,0
0.498571,-0.402684,-9.169861,-3.453802,1,0
0.533605,-0.323406,-9.192832,-3.400662,1,0
0.563604,-0.263243,-9.220464,-3.330315,1,0
0.598608,-0.152367,-9.256049,-3.23722,1,0
0.633611,0.003474,-9.285082,-3.15666,1,0
0.66361,0.161257,-9.298899,-3.111547,1,0
0.698623,0.346048,-9.296059,-3.10496,1,0
0.728622,0.442326,-9.276132,-3.151979,1,0
0.763626,0.426099,-9.221548,-3.310397,1,0
0.798629,0.231692,-9.128255,-3.577503,1,0
0.828628,-0.096826,-9.010708,-3.869756,1,0
0.863662,-0.661651,-8.80822,-4.260836,1,0
0.898666,-1.444919,-8.513364,-4.64888,1,0
0.928665,-2.272923,-8.167109,-4.930456,1,0
0.963668,-3.363286,-7.641487,-5.145215,1,0
0.998672,-4.414865,-7.021304,-5.233307,1,0
1.028701,-5.190813,-6.442252,-5.265938,1,0
1.063705,-5.872307,-5.763697,-5.336015,1,0
1.098709,-6.342733,-5.157055,-5.417728,1,0
1.128707,-6.691705,-4.721032,-5.395387,1,0
1.163711,-7.150724,-4.254956,-5.19035,1,0
1.198715,-7.471263,-3.8799,-5.030294,1,0
1.228744,-7.525274,-3.741136,-5.054839,1,0
1.263748,-7.53052,-3.718174,-5.063961,1,0
1.298751,-7.506425,-3.85946,-4.993536,1,0
1.32875,-7.541296,-4.073082,-4.766142,1,0
1.363754,-7.610633,-4.361945,-4.385082,1,0
1.398757,-7.542912,-4.725886,-4.116762,1,0
1.428787,-7.375554,-5.067694,-4.012097,1,0
1.46379,-7.131381,-5.433221,-3.975017,1,0
1.498794,-6.873326,-5.736935,-4.002775,1,0
1.528793,-6.696227,-5.937716,-4.010153,1,0
1.563797,-6.495813,-6.057672,-4.157677,1,0
1.598831,-6.263442,-6.099252,-4.44361,1,0
1.633834,-6.038117,-6.158541,-4.668059,1,0
1.663833,-5.768913,-6.284952,-4.836969,1,0
1.698829,-5.36391,-6.467654,-5.05719,1,0
1.728828,-4.94519,-6.607576,-5.297384,1,0
1.763862,-4.345485,-6.764273,-5.615926,1,0
1.798865,-3.63123,-6.956367,-5.882208,1,0
1.828864,-3.118312,-7.08142,-6.025519,1,0
1.863868,-2.747174,-7.173107,-6.09728,1,0
1.898872,-2.386903,-7.246751,-6.161537,1,0
1.928901,-2.115008,-7.271095,-6.231787,1,0
1.963905,-1.999681,-7.250698,-6.293322,1,0
1.998908,-2.185983,-7.200343,-6.28918,1,0
2.028907,-2.585005,-7.050815,-6.307218,1,0
2.063911,-3.342115,-6.628426,-6.408704,1,0
2.098914,-4.619109,-5.667178,-6.536373,1,0
2.128944,-5.523732,-4.532948,-6.716995,1,0
2.163947,-6.684253,-2.696177,-6.650461,1,0
2.198951,-7.273813,-0.387589,-6.566481,1,0
2.233955,-6.605005,1.753126,-7.034039,1,0
2.263953,-5.917868,2.682123,-7.345904,1,0
2.298988,-5.456853,2.463386,-7.76735,1,0
2.333991,-5.445456,1.781394,-7.959328,1,0
2.36399,-5.688692,1.142398,-7.906387,1,0
2.398994,-6.279322,0.497097,-7.516665,1,0
2.428992,-6.655062,-0.041092,-7.203173,1,0
2.464027,-6.766409,-0.773994,-7.056479,1,0
2.49903,-6.798142,-1.447339,-6.91865,1,0
2.529029,-6.874298,-1.999097,-6.702603,1,0
2.564033,-6.903736,-2.533984,-6.488035,1,0
2.599036,-6.801095,-2.901571,-6.442301,1,0
2.629066,-6.539719,-3.141198,-6.598652,1,0
2.664069,-6.147508,-3.273854,-6.904149,1,0
2.699065,-5.75389,-3.36585,-7.193125,1,0
2.734069,-5.49197,-3.39298,-7.382629,1,0
