time_tick,lac_X_value,lac_Y_value,lac_Z_value,Turn,Success
-0.00345,-0.422591,0.018583,0.349843,1,0
0.031249,0.106835,0.179613,0.275143,1,0
0.060973,0.023615,0.117091,-0.087764,1,0
0.095702,-0.038903,0.057705,-0.308721,1,0
0.1304,-0.046718,0.074876,-0.583758,1,0
0.160124,0.184043,0.011679,-0.515663,1,0
0.194853,-0.157045,0.017964,-0.527031,1,0
0.229552,0.403953,-0.095754,-0.210777,1,0
0.26425,0.256038,-0.221759,0.08042,1,0
0.294005,0.548707,-0.385392,0.140178,1,0
0.328703,-0.04549,-0.525025,0.259389,1,0
0.363402,-0.259527,0.08717,0.032619,1,0
0.3981,0.342869,0.000511,-0.236873,1,0
0.427855,0.102012,-0.370241,-0.161048,1,0
0.462554,0.01406,0.226564,-0.713216,1,0
0.497252,0.261745,-0.07676,-0.393808,1,0
0.527007,-0.006925,-0.285891,0.046789,1,0
0.561705,-0.712809,0.280352,-0.135116,1,0
0.596404,-0.587767,0.207181,-0.480356,1,0
0.631102,-1.165538,-0.094589,0.048854,1,0
0.660826,0.02653,0.607733,-0.493261,1,0
0.695524,0.407464,-0.163409,-0.500399,1,0
0.730223,1.270316,-0.287629,-0.569531,1,0
0.764921,1.207545,-0.187879,0.067533,1,0
0.794676,0.429698,-0.216753,-0.02001,1,0
0.829374,0.642735,-0.324424,0.317842,1,0
0.864073,0.237602,-0.572665,0.243752,1,0
0.893827,-0.258582,-0.234619,0.058715,1,0
0.928526,-1.348692,0.349186,-0.713511,1,0
0.963224,-0.597262,0.85278,-0.654356,1,0
0.992979,-0.861031,0.773484,-0.299951,1,0
1.027678,-0.126193,0.511887,-0.061662,1,0
1.062376,-0.474863,-0.257989,0.260111,1,0
1.097105,-0.624727,0.488014,-0.837548,1,0
1.131773,0.196094,-0.083236,-0.091398,1,0
1.161528,0.348046,-0.551185,0.526127,1,0
1.196257,0.63916,0.423596,-0.762755,1,0
1.230925,0.197688,-0.204498,-0.114011,1,0
1.260679,-0.802544,0.028762,0.087357,1,0
1.295408,-0.934663,0.911028,-0.136459,1,0
1.330076,-1.516543,0.955974,0.609021,1,0
1.359831,-1.207558,0.433339,0.980692,1,0
1.39456,-0.423199,-0.199056,0.575763,1,0
1.429228,-0.56868,-1.09286,1.540659,1,0
1.463957,-0.788494,-1.25663,0.859853,1,0
1.493712,-1.688455,-1.740093,0.753111,1,0
1.528379,-1.706633,-1.850036,0.69517,1,0
1.563108,-2.209167,-1.759815,1.071113,1,0
1.597807,-2.542292,-2.179157,0.644284,1,0
1.627531,-2.559754,-3.248157,-0.085686,1,0
1.662245,-2.610338,-5.161014,0.384776,1,0
1.696944,-1.475962,-4.543471,-0.199216,1,0
1.726668,-0.479626,-4.763926,-0.571281,1,0
1.761397,0.452705,-2.857254,-2.114367,1,0
1.796095,0.902808,-2.964028,-2.135506,1,0
1.830794,0.840463,-2.760847,-1.570981,1,0
1.860548,2.20707,-1.872322,-2.397095,1,0
1.895247,2.49037,-1.694551,-2.031935,1,0
1.929945,4.91238,-1.417513,-2.289354,1,0
1.964644,2.98699,-1.239282,-2.30688,1,0
1.994398,2.527632,-0.681903,-2.214347,1,0
2.029097,2.8444,-0.061719,-1.870723,1,0
2.063795,1.707539,-0.063456,-1.91327,1,0
2.09355,1.887764,0.023008,-2.559364,1,0
2.128249,1.759459,-0.282791,-3.221184,1,0
2.162947,2.25576,-0.394952,-3.645495,1,0
2.197645,4.703467,-1.02247,-3.449186,1,0
2.2274,5.568805,-1.143927,-3.854352,1,0
2.262099,5.26888,-1.811355,-2.251445,1,0
2.296797,4.648501,-2.354005,-0.817245,1,0
2.331496,4.190779,-2.067739,-1.864606,1,0
2.36125,0.113349,-1.727276,-1.599979,1,0
2.395949,-1.589507,-2.274909,-1.359965,1,0
2.430647,-2.039184,-0.167988,1.096598,1,0
2.460402,-6.566469,-1.195516,1.288425,1,0
2.4951,-6.165014,-1.460859,2.258651,1,0
2.529799,-8.837659,-1.89118,3.655242,1,0
2.564528,-7.624812,-2.899871,2.687705,1,0
2.594252,-6.965343,-3.78849,3.908775,1,0
2.62895,-10.701342,-3.792999,5.118763,1,0
2.663676,-14.029851,-2.650225,5.499298,1,0
2.698344,-15.774651,-2.427734,6.338609,1,0
2.728099,-24.562021,-1.012848,9.718798,1,0
2.762828,-22.949371,-5.021575,-4.426644,1,0
2.797496,-17.644837,-18.751903,-12.36002,1,0
2.827251,-9.869179,-34.67372,-7.91317,1,0
2.86198,3.142101,-16.748927,-18.113497,1,0
2.896648,8.893776,0.994417,-58.417982,1,0
2.926402,29.43718,-22.039343,-7.821434,1,0
2.961131,-9.933273,-4.501716,-8.727109,1,0
2.995799,-11.66521,-4.984644,-12.520888,1,0
3.030528,6.700922,-3.001388,-6.724093,1,0
3.065227,2.124735,0.491301,-0.899563,1,0
3.094951,-0.759221,5.217102,-0.023854,1,0
3.12968,0.173936,4.833325,1.342454,1,0
3.164378,4.33245,0.375246,4.365921,1,0
3.194102,2.805889,0.90123,2.680748,1,0
3.228831,0.599005,-2.96823,1.138966,1,0
3.26353,0.998323,-3.216381,1.612261,1,0
